suburb_name,commission_rate
"Elanora Heights, NSW",1.71
"Ingleside, NSW",1.71
"Narrabeen, NSW",1.78
"North Narrabeen, NSW",1.71
"Warriewood, NSW",1.67
"Mona Vale, NSW",1.38
"Bayview, NSW",1.67
"Church Point, NSW",1.67
"Elvina Bay, NSW",1.67
"Lovett Bay, NSW",1.67
"Morning Bay, NSW",1.67
"Scotland Island, NSW",1.67
"Newport, NSW",1.67
"Newport Beach, NSW",1.67
"Bilgola, NSW",1.67
"Clareville, NSW",1.67
"Whale Beach, NSW",1.67
"Coasters Retreat, NSW",1.67
"Great Mackerel Beach, NSW",1.67
"Palm Beach, NSW",1.67
"Hunters Hill, NSW",1.61
"Woolwich, NSW",1.61
"Boronia Park, NSW",1.61
"Gladesville, NSW",1.61
"Henley, NSW",1.61
"Huntleys Cove, NSW",1.61
"Huntleys Point, NSW",1.61
"Monash Park, NSW",1.61
"Tennyson Point, NSW",1.61
"Denistone East, NSW",1.55
"Putney, NSW",1.55
"Ryde, NSW",1.49
"Blenheim Road, NSW",1.63
"East Ryde, NSW",1.63
"Macquarie Park, NSW",1.63
"North Ryde, NSW",1.63
"Denistone, NSW",1.68
"Denistone West, NSW",1.68
"Meadowbank, NSW",1.68
"Melrose Park, NSW",1.68
"West Ryde, NSW",1.76
"Ermington, NSW",2.10
"Rydalmere, NSW",1.78
"Dundas, NSW",1.65
"Dundas Valley, NSW",1.65
"Oatlands, NSW",1.65
"Telopea, NSW",1.65
"Carlingford, NSW",1.90
"Carlingford Court, NSW",1.90
"Carlingford North, NSW",1.90
"Kingsdene, NSW",1.90
"Beecroft, NSW",1.61
"Cheltenham, NSW",1.61
"Pennant Hills, NSW",1.61
"Thornleigh, NSW",1.61
"Westleigh, NSW",1.61
"Epping, NSW",1.71
"North Epping, NSW",1.69
"Eastwood, NSW",1.54
"Marsfield, NSW",1.50
"West Pennant Hills, NSW",1.65
"Cherrybrook, NSW",1.65
"Newington, NSW",1.85
"Silverwater, NSW",1.78
"Summer Hill, NSW",1.55
"Ashfield, NSW",1.55
"Croydon, NSW",1.55
"Croydon Park, NSW",1.55
"Enfield South, NSW",1.55
"Burwood, NSW",1.55
"Burwood North, NSW",1.55
"Strathfield, NSW",1.26
"Burwood Heights, NSW",1.55
"Enfield, NSW",1.55
"Strathfield South, NSW",1.55
"Breakfast Point, NSW",1.50
"Cabarita, NSW",1.50
"Concord, NSW",1.50
"Mortlake, NSW",1.50
"North Strathfield, NSW",1.50
"Concord West, NSW",1.55
"Liberty Grove, NSW",1.55
"Rhodes, NSW",1.55
"Homebush, NSW",1.49
"Homebush South, NSW",1.54
"Homebush West, NSW",1.54
"Berala, NSW",1.57
"Lidcombe, NSW",1.58
"Lidcombe North, NSW",1.57
"Rookwood, NSW",1.57
"Blaxcell, NSW",1.79
"Camellia, NSW",1.79
"Clyde, NSW",1.79
"Granville, NSW",2.01
"Holroyd, NSW",1.79
"Rosehill, NSW",1.79
"South Granville, NSW",1.79
"Birrong, NSW",1.45
"Potts Hill, NSW",1.45
"Regents Park, NSW",1.45
"Auburn, NSW",1.66
"Constitution Hill, NSW",1.77
"Girraween, NSW",1.77
"Greystanes, NSW",1.69
"Mays Hill, NSW",1.77
"Pemulwuy, NSW",1.77
"Pendle Hill, NSW",1.77
"South Wentworthville, NSW",1.77
"Wentworthville, NSW",1.77
"Westmead, NSW",1.76
"Old Toongabbie, NSW",1.64
"Toongabbie, NSW",1.64
"Toongabbie East, NSW",1.64
"Kings Langley, NSW",1.81
"Lalor Park, NSW",1.70
"Seven Hills, NSW",1.92
"Seven Hills West, NSW",1.81
"Arndell Park, NSW",1.93
"Blacktown, NSW",1.91
"Blacktown Westpoint, NSW",1.93
"Huntingwood, NSW",1.93
"Kings Park, NSW",1.93
"Marayong, NSW",1.93
"Prospect, NSW",1.93
"Harris Park, NSW",1.76
"Parramatta, NSW",1.73
"Parramatta Westfield, NSW",1.76
"North Parramatta, NSW",1.80
"North Rocks, NSW",1.77
"Northmead, NSW",1.87
"Baulkham Hills, NSW",1.65
"Bella Vista, NSW",1.66
"Winston Hills, NSW",1.66
"Castle Hill, NSW",1.61
"Beaumont Hills, NSW",1.83
